Time,Open,High,Low,Close,Volume
2019-11-29 17:00:00,28087.17,28099.67,28047.169,28068.17,60
2019-11-29 18:00:00,28068.17,28087.669,28062.67,28070.17,15
2019-12-01 23:00:00,28100.969,28113.47,28082.97,28111.469,60
2019-12-02 0:00:00,28111.469,28166.47,28109.469,28156.47,60
2019-12-02 1:00:00,28156.47,28159.47,28143.469,28151.969,60
2019-12-02 2:00:00,28151.969,28167.97,28149.47,28156.969,60
2019-12-02 3:00:00,28156.969,28170.97,28155.47,28170.97,59
2019-12-02 4:00:00,28170.97,28171.47,28158.97,28160.97,56
2019-12-02 5:00:00,28160.97,28163.47,28151.469,28159.47,60
2019-12-02 6:00:00,28159.969,28160.47,28148.469,28148.469,59
2019-12-02 7:00:00,28148.469,28151.469,28137.469,28142.97,60
2019-12-02 8:00:00,28141.969,28201.07,28135.469,28190.57,60
2019-12-02 9:00:00,28190.57,28196.07,28173.569,28181.569,60
2019-12-02 10:00:00,28181.069,28197.07,28177.069,28178.57,59
2019-12-02 11:00:00,28179.069,28183.07,28109.069,28125.569,60
2019-12-02 12:00:00,28125.569,28131.069,28108.07,28121.57,60
2019-12-02 13:00:00,28122.07,28122.07,28079.069,28105.07,60
2019-12-02 14:00:00,28104.069,28110.07,27998.669,27998.67,60
2019-12-02 15:00:00,27975.669,27995.67,27829.67,27834.17,60
2019-12-02 16:00:00,27834.17,27858.67,27793.669,27844.669,60
2019-12-02 17:00:00,27844.669,27871.67,27797.169,27805.67,60
2019-12-02 18:00:00,27805.67,27854.67,27803.669,27847.669,60
2019-12-02 19:00:00,27847.669,27878.669,27840.669,27858.67,60
2019-12-02 20:00:00,27858.67,27862.169,27785.169,27794.169,60
2019-12-02 21:00:00,27795.67,27811.669,27787.669,27796.17,15
2019-12-02 23:00:00,27786.469,27797.469,27745.469,27773.47,59
2019-12-03 0:00:00,27773.47,27818.97,27753.969,27809.97,60
2019-12-03 1:00:00,27809.97,27825.47,27780.469,27807.97,60
2019-12-03 2:00:00,27807.97,27826.47,27802.469,27815.469,60
2019-12-03 3:00:00,27815.97,27852.469,27813.47,27839.47,60
2019-12-03 4:00:00,27839.47,27847.47,27834.469,27839.469,57
2019-12-03 5:00:00,27838.47,27849.469,27828.469,27842.469,60
2019-12-03 6:00:00,27842.469,27845.47,27820.469,27833.47,58
2019-12-03 7:00:00,27832.969,27844.469,27808.469,27808.969,60
2019-12-03 8:00:00,27808.969,27840.069,27805.069,27829.07,60
2019-12-03 9:00:00,27829.57,27845.069,27798.069,27823.069,60
2019-12-03 10:00:00,27823.069,27837.07,27670.069,27684.569,60
2019-12-03 11:00:00,27684.569,27716.07,27676.069,27709.07,60
2019-12-03 12:00:00,27709.07,27709.07,27603.069,27612.07,60
2019-12-03 13:00:00,27612.07,27620.069,27517.07,27524.07,60
2019-12-03 14:00:00,27524.07,27526.07,27350.169,27427.169,60
2019-12-03 15:00:00,27425.669,27430.67,27321.67,27346.17,60
2019-12-03 16:00:00,27344.669,27400.669,27323.17,27385.669,60
2019-12-03 17:00:00,27385.669,27432.67,27365.669,27401.67,60
2019-12-03 18:00:00,27401.67,27477.669,27399.669,27442.669,60
2019-12-03 19:00:00,27442.669,27462.669,27407.67,27443.67,60
2019-12-03 20:00:00,27444.67,27523.67,27434.669,27507.17,60
2019-12-03 21:00:00,27508.669,27514.67,27491.67,27497.669,15
2019-12-03 23:00:00,27482.97,27514.469,27479.47,27508.97,60
2019-12-04 0:00:00,27508.97,27525.469,27457.47,27481.47,60
2019-12-04 1:00:00,27480.469,27508.47,27458.469,27480.469,60
2019-12-04 2:00:00,27480.969,27495.469,27475.97,27486.469,60
2019-12-04 3:00:00,27486.469,27507.97,27475.97,27498.969,60
2019-12-04 4:00:00,27498.969,27506.97,27491.469,27503.47,60
2019-12-04 5:00:00,27502.469,27506.47,27490.97,27496.97,60
2019-12-04 6:00:00,27497.47,27508.47,27484.969,27500.469,60
2019-12-04 7:00:00,27499.969,27500.97,27401.469,27404.469,60
2019-12-04 8:00:00,27403.47,27470.07,27397.47,27468.07,60
2019-12-04 9:00:00,27469.57,27638.07,27466.069,27633.069,58
2019-12-04 10:00:00,27633.57,27635.069,27593.069,27597.07,60
2019-12-04 11:00:00,27596.569,27642.57,27595.069,27642.07,60
2019-12-04 12:00:00,27642.07,27655.07,27624.069,27633.07,60
